Account_ID,TimeStamp,Source,Category,Metric_Group,Metric,Value
12,6/23/2026 16:30:00,33,Biometrics,Pedometer,Step_Count,1500
12,6/23/2026 16:45:00,33,Biometrics,HeartRate,Reading,98
12,6/23/2026 16:45:00,33,Biometrics,HeartRate,Alarm_Level,0
12,6/23/2026 17:15:00,33,Biometrics,Accelerometer,Movement,1.1
12,6/23/2026 18:00:00,33,Biometrics,Pedometer,Step_Count,3200
12,6/23/2026 18:30:00,44,System,Power,State,Charging
12,6/23/2026 19:30:00,33,Biometrics,HeartRate,Reading,74
12,6/23/2026 20:00:00,42,Activity,Chrome,URL,www.youtube.com
12,6/23/2026 20:45:00,42,Activity,OS,State,Shutdown
12,6/23/2026 21:00:00,27,System,Clock_Alarm,Bedtime_Mode,Activated
12,6/23/2026 21:15:00,33,Biometrics,Accelerometer,Movement,0.04
12,6/23/2026 21:30:00,33,Biometrics,Sleep,State,Light
12,6/23/2026 21:30:00,33,Biometrics,HeartRate,Reading,62
12,6/23/2026 22:30:00,33,Biometrics,HeartRate,Reading,55
12,6/23/2026 23:00:00,33,Biometrics,Sleep,State,Deep
12,6/23/2026 23:00:00,33,Biometrics,HeartRate,Reading,49
,,,,,,
